,,41A - PC/JC MENU LIST,,,,,,,,APPROX. DAILY ORDER,,,,,,
,,,,,ESTIMATED,,,,,,,,,,,
,,,PRODUCTION,PLATING &,WEELY,UOM,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,,
Item Code,,ITEM DESCRIPTION,SITE,ASSEMBLY SITE,ORDER,,,,,,,,,,,
,,,,,,,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,,
50,g,SALAD CABBAGE DAIKON CARROT MIX,,,8.40,kg,1.10,0.80,1.15,0.70,1.05,1.10,0.55,1.05,,
5,g,WAKAME SEAWEED SALAD,,,0.84,kg,0.11,0.08,0.12,0.07,0.11,0.11,0.06,0.11,,
1,g,CORIANDER LEAVES,,,0.17,kg,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.02,,
30,g,SESAME AND RICE VINEGAR DRESSING,,,5.04,kg,0.66,0.48,0.69,0.42,0.63,0.66,0.33,0.63,,
F0303920,,TUNA POKE CORIANDER 2U801,Mascot,Mascot,0,units,0,0,0,0,0,0,0,0,,
40,g,SEARED TUNA CUBE,,,0.00,kg,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
30,g,SALAD CABBAGE DIAKON CARROT MIX,,,0.00,kg,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
5,g,WAKAME SEAWEED,,,0.00,kg,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
F0303921,,TUNA POKE CORIANDER 2U840,Mascot,Mascot,2076,units,228,225,270,258,323,273,259,240,,
40,g,SEARED TUNA CUBE,,,83.04,kg,9.12,9.00,10.80,10.32,12.92,10.92,10.36,9.60,,
30,g,SALAD CABBAGE DIAKON CARROT MIX,,,62.28,kg,6.84,6.75,8.10,7.74,9.69,8.19,7.77,7.20,,
5,g,WAKAME SEAWEED,,,10.38,kg,1.14,1.13,1.35,1.29,1.62,1.37,1.30,1.20,,
F1401991,,DRESSING SESAME AND RICE VINEGAR FOR F0303920 / F0303921,Mascot,Mascot,2076,units,228,225,270,258,323,273,259,240,,
